Name,Mu_BI,Uhat_BI,BI,BI_ilink,Mu_Sind,Uhat_SInd,Sind,Sind_ilink,DSI_general_ilink,DSI_Uhat_general,DSI_BLUP_general,Q1,Q2,Q3,Q4
S71,-0.765807895,0.341141519,-0.424666376,0.395400668,-0.951947639,0.706823366,-0.245124273,0.439023943,0.417212306,0.523982443,-0.334895325,0.992190676,2.34E-23,0.00025072,0.007558604
S72,-0.765807895,0.22428405,-0.541523844,0.367833168,-0.951947639,0.46164686,-0.49030078,0.379822714,0.373827941,0.342965455,-0.515912312,0.647915197,2.28E-23,0.352081211,0.00000359
S73,-0.765807895,0.105064033,-0.660743862,0.340572533,-0.951947639,0.409426671,-0.542520969,0.367601336,0.354086934,0.257245352,-0.601632416,0.99966035,4.04E-11,0.000339502,0.000000148
S74,-0.765807895,-0.056032517,-0.821840412,0.305373131,-0.951947639,0.014090197,-0.937857442,0.281333332,0.293353232,-0.02097116,-0.879848927,3.29E-16,4.75E-37,3.24E-20,1
S75,-0.765807895,-0.247548507,-1.013356402,0.266323511,-0.951947639,-0.234327809,-1.186275448,0.233925731,0.250124621,-0.240938158,-1.099815925,1.98E-18,6.20E-42,2.21E-20,1
S76,-0.765807895,0.1430997,-0.622708195,0.349165766,-0.951947639,0.051346699,-0.900600941,0.28892702,0.319046393,0.097223199,-0.761654568,0.92176499,3.60E-17,0.020004919,0.058230091
S77,-0.765807895,-0.015108014,-0.780915909,0.31412252,-0.951947639,-0.268773683,-1.220721322,0.227809536,0.270966028,-0.141940848,-1.000818616,1.25E-16,1.08E-38,1.80E-18,1
S78,-0.765807895,-0.201759837,-0.967567732,0.27536557,-0.951947639,-0.088914592,-1.040862231,0.26098366,0.268174615,-0.145337214,-1.004214982,0.996340724,1.52E-24,0.002729344,0.000929931
S79,-0.765807895,-0.036198069,-0.802005964,0.309596587,-0.951947639,0.034312054,-0.917635586,0.285439905,0.297518246,-0.000943008,-0.859820775,3.55E-17,2.69E-41,6.41E-21,1
S8,-0.765807895,0.109487019,-0.656320876,0.341566559,-0.951947639,0.356913226,-0.595034413,0.355480562,0.348523561,0.233200123,-0.625677645,4.43E-14,3.64E-32,7.98E-19,1
S80,-0.765807895,0.058002861,-0.707805034,0.330084029,-0.951947639,0.356913226,-0.595034413,0.355480562,0.342782295,0.207458044,-0.651419724,1.69E-14,6.11E-36,8.67E-18,1
S81,-0.765807895,-0.347201887,-1.113009782,0.247310198,-0.951947639,-0.595133089,-1.547080729,0.175508302,0.21140925,-0.471167488,-1.330045256,2.15E-16,2.14E-37,9.41E-23,1
S82,-0.765807895,0.13026306,-0.635544835,0.346254329,-0.951947639,0.034312054,-0.917635586,0.285439905,0.315847117,0.082287557,-0.776590211,3.78E-15,3.80E-34,6.21E-20,1
S83,-0.765807895,0.219318689,-0.546489206,0.366679323,-0.951947639,0.260332421,-0.691615219,0.333673856,0.35017659,0.239825555,-0.619052213,8.56E-14,2.79E-37,7.66E-18,1
S84,-0.765807895,0.220386941,-0.545420954,0.366927434,-0.951947639,0.137335202,-0.814612437,0.306908485,0.336917959,0.178861072,-0.680016696,2.44E-18,4.21E-41,1.11E-22,1
